Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,186.13243169794148,186.94718197974356,197.40810526152825,225.4470065744976,209.00578597130965,226.88306700871757,240.96219362784115,243.82436728799658,257.1975117967591,281.6374129196865,276.7900558752067,294.8746679408872,311.52801821301983,389.80823299743037,463.56318165411665,479.17600725292465,468.86987574688163,518.4655906676445,571.7367844608453,634.5802264934641,773.4617985385922,777.8555814519685,725.749081676939,732.6098875813517,650.5823142335303,554.4551641058381,578.6206721753458,665.1389717312014,704.4865735435853,728.5703834827737,822.81763829676,862.8482743208508,733.1783461016923,709.6638984157128,701.041569805609,766.8206041446516,747.069736338611,767.6841877902805,697.3526926141611,670.6978277705178,707.1203763275056,626.169148423877,625.9988149543188,809.9681394344358,981.7446305265025,1115.713955566489,1220.0024682059031,1362.310650768008,1421.1186121106894,1386.5902064907282,1601.7277480802475,1735.585140053938,1702.9692575800343,1673.140475806857,1656.1076421503503,1479.5641234811662,1329.7778237558293,1520.1712983928733,1538.924187735642,1493.7804449003668,1344.0809619200359,1522.5900880497154,1628.0245257095944,1659.51529015376,
Africa Eastern and Southern,AFE,Gini index,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.16925742673751,44.46883833625744,44.87788992764364,45.16058280588299,45.535695467373806,45.770722923355166,45.7657253575752,46.44074541643187,46.73863174696029,46.977475702472034,47.24800568073953,47.46401565915046,47.166792282710624,47.746607924016764,47.74432776397971,47.96854805476745,48.568138198282035,48.860724885666336,48.983916713352066,49.416988384735106,49.81671313805199,50.02049329675215,50.29082937972052,48.90409565657024,48.997958670253645,49.39290246408778,50.00976149891164,51.06894293209705,50.87660706149465,51.26587351407625,51.09632645430472,50.87324360639456,50.715946047892054,51.07376191337756,50.96658879564646,51.48205668133573,51.35318983607377,51.57088651714292,51.31795547213679,51.80707724498677,52.55734186267767,52.875536053628664,53.20674433430259,53.67830476858219,54.192927866043405,54.80768071363357,55.693515257845256,56.484353178453354,57.240106322879754,58.095527143646336,58.82727920628205,59.200004030070076,60.24951235984675,60.895739752772,61.25143601567095,61.71303052349498,62.16798131691992,62.591275096150056,63.33069135823358,63.857261283704254,63.766484002694334,62.979999185749385,64.48701954566079,65.146290855385,
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,121.93835313750536,127.45262942068773,133.82545244256477,139.00671365538972,148.54773589138975,155.56383663284853,162.1093619818842,144.94261158575904,146.18800626585752,161.91998764552852,218.674868115625,195.86242988345387,230.07177342901855,280.647467363285,368.29931824961363,413.37132516580067,480.4532519297517,490.84569822947793,523.7878505563128,624.8784994391906,757.0768724766864,1324.5460024973834,1162.132846171366,872.8316729609171,737.6750095742888,753.7997553846469,581.3907127615632,581.5238024440862,560.3805816164613,509.32673362722727,590.3214384687902,603.8789077767822,563.3100804498652,570.8886406589924,577.5487413022877,863.9505713754482,1065.683497220244,1088.9968067967425,1137.7444961642484,521.3647343497859,516.9323162557906,530.6531672712224,616.7960330624744,694.5009385971723,834.8612909469203,989.6997388319747,1222.5504977556775,1393.7484867956885,1652.1898500705279,1439.0478032150818,1647.1498469851874,1824.7228266640261,1920.119911687275,2113.3169859177797,2204.995699699795,1845.767804211081,1616.8431980024861,1560.16299864482,1703.896392228045,1783.654364911908,1664.2491764355304,1747.8405491154463,1777.235012166687,1568.7243104511836,
Africa Western and Central,AFW,Gini index,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,37.77963638871598,38.05895550156452,38.68179238427511,38.93691777142051,39.19457988272974,39.47978449526716,39.71924803116182,39.529359024211765,40.258889546256135,40.567814133376146,41.27793850701112,41.7301022111752,42.35613221993729,42.868123039133785,43.437155334366736,43.967079379371505,44.75257004641062,45.362264158998784,45.876278364925504,46.32850664165678,46.69622897030392,47.075219298697334,47.37394201653671,47.61950296994045,47.79751435951365,47.944274986639485,48.0379744032839,48.13937741665651,48.37133491176641,48.49596438819947,48.4592954544909,48.531075884194465,48.688592135760274,48.8549400132309,48.85928310635737,49.027006694121965,49.11155737044584,49.21878348591644,49.45245902400786,49.82376332925814,50.29798308157511,50.677790413138375,51.10802357113427,51.57812224462531,52.106083093576046,52.55575310011284,52.97870970612831,53.482431405344954,53.91626163332081,53.85224546200102,54.60335321338802,54.963973489022635,55.29270582179175,55.55490740758571,55.69544633985684,56.03833564843547,56.3924518507367,56.626438811256605,57.036976441386024,57.149846755511845,57.36442540111066,57.36257169102738,57.98781339451894,58.85572154832765,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,212.88966103077703,210.80541356560914,225.80062890303952,243.89743062668964,256.18014091742873,263.95083930607393,276.9329744460217,307.5368009440697,329.431422561081,357.6947450038614,402.7950349666686,470.1955930280061,602.4667480386452,1124.9668172819277,1205.4738171689814,1458.1440058923815,1630.3598236370858,1728.2057101212195,2251.5060209758285,2954.0491964469416,2911.0078723079746,2640.5857864212103,2417.3245921636403,2357.268908731612,2247.9274572970403,2042.5855847151552,2108.5858597091833,2042.0576162628536,2117.75262429459,2875.257141613146,2048.8097549046374,1996.3775644694044,1987.8577336485425,2018.685799561172,2081.020711968678,2193.873308919734,2305.6160606318,2192.611888010009,2378.9504911150825,2664.1657957148836,2536.711964719004,2483.1072342494103,2696.6723047480086,3133.7368766472255,3750.50855449002,4355.087621868791,4940.702265117192,6091.932064456725,5134.450060551587,5928.304790053859,6883.374023585135,7336.197708154648,7311.296755080934,7259.936729337791,6203.702636404354,5957.059836593252,6005.390128639538,6576.516630839124,6525.211843123843,5648.341117893954,6445.807260934105,7658.406469733148,7292.210407806178,
Arab World,ARB,Gini index,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.794055674045445,45.54537103960971,45.99376916980366,46.97933815339987,47.570034064764506,48.117159090464014,48.62542398256461,49.09243360259729,49.65778685877981,50.148856580365766,50.69287106225573,51.31831888534201,51.893710427657375,52.30196047958932,52.92555021552933,53.42035119442223,53.850648988301586,55.08192224077833,55.75712848175297,56.47974815192209,57.00635328896793,57.56916644442653,57.87023457827842,58.637606737855336,59.32958174981833,59.98946111400081,60.91868449454016,61.62080933136935,61.67153285599114,62.29824717621701,62.755972729980165,62.82750662324068,63.575576282872476,64.6012801061363,64.8500832261274,65.20250609528021,65.5268890989846,65.8529924943129,66.19357928898265,66.54993439029565,66.89069989493441,67.24061704399264,67.58063027913428,67.65033494987773,67.73310290404432,68.04050241363478,68.49126523878117,68.87922643869935,69.2581327561764,69.70690354105932,69.80732210120266,69.36333768598263,69.84231660209396,70.19210584512727,70.53506663102809,70.65801236951923,70.89648811644281,71.11285600806465,71.43129978591368,71.83989326749717,70.72655881038621,70.40411448899029,71.87609559922223,72.43895530867448,
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,374.1942848236298,399.5178647287948,419.3339273526683,427.285395080961,453.81732306837927,492.52831282271745,546.9105945981156,603.2847211502014,619.1244332084532,684.0413614362127,707.6315176142182,751.7148943394143,782.5563969117457,874.9946355045427,993.4829503257863,1081.9300642654932,1102.5407757581565,1252.2329373809293,1430.7636051046943,1682.389341007873,2037.6800661552898,2176.805921309873,2237.2337270165954,2342.4349744473593,2546.526247748804,2739.276129026526,2961.382636376477,3181.8346920343142,3465.0938965240202,3461.700360226895,3540.015449562946,3576.502976174276,3615.794332856321,3726.298403314383,3975.75813576956,4160.117889175458,4423.169241590273,5609.753015382799,6038.837303348833,6353.305409021845,6626.895152198926,6628.936948287026,6957.154829818304,7098.96854417985,7417.591195166049,8063.660513254375,9344.431642219824,10042.369102109438,10440.093289139837,10122.42306192076,10638.16938723115,10801.13891087243,11305.60618699645,11336.216043180688,11603.940552306865,11835.287215530292,11358.703084516455,11775.390501190474,12047.852811163493,12356.321643935107,10270.790474344967,11920.342757615681,15564.557621050828,16906.567214094233,
